Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-00063,General Records,Public,"A copy of the fire report for the motor vehicle accident at HWY 401 approaching Port Union Road. The incident occurred on July 1, 2010 at approx. 4:00 a.m.","January 13, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00064,General Records,Public,"A copy of the zoning review/PPR records relating to {an address}, including the results, notice, and application. Zoning review #09 163 143.","January 13, 2012","January 25, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00065,General Records,Public,A copy of the building permits and related correspondence for {an address}.,"January 13, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,108
AG-2012-00066,General Records,Public,"A copy of the Public Health report for mould at {an address}. The inspection occurred on November 29, 2011 at 2:00 p.m. Also include any additional notes or documents related to the inspection.","January 12, 2012","February 7, 2012",All Disclosed,5
AG-2012-00067,General Records,Business,"A copy of all documents related to the fire that occurred at {an address}, Scarborough. The incident occurred on February 15, 2006.","January 16, 2012","February 10, 2012",Disclosed in Part: Partially Exempt,74
AG-2012-00068,General Records,Business,"A copy of all documents related to the fire at {an address}. The incident occurred on July 20, 2008.","January 16, 2012","February 10, 2012",Disclosed in Part: No Records Exist,232
AG-2012-00076,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred adjacent to the property on November 10, 2011.","January 16, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,19
AG-2012-00077,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 14, 2011.","January 16, 2012","February 15, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00078,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 31, 2011.","January 16, 2012","February 15, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00080,General Records,Public,"A copy of the reports related to the dog bite incident at {an address}. The incident occurred on September 3, 2010 around 3:30 p.m.","January 17, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00081,General Records,Public,"A copy of the fire safety inspection report for {an address}, Scarborough, including the results and/or orders issued to landlord and expected completion dates. Also all building permits issued between August  2011 and January 2012.","January 13, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00082,General Records,Public,"A copy of the PFR documents pertaining to tree examinations and tree removals for {an address}, including the arborist report.","January 16, 2012","February 10, 2012",Abandoned/Withdrawn by Applicant,0
AG-2012-00083,General Records,Business,A copy of the permit applicant's name and address for all active permit files for {an address} and the date of each permit.,"January 16, 2012","February 13, 2012",Disclosed in Part: Partially Exempt,75
AG-2012-00084,General Records,Public,"A copy of the building permit records regarding {an address} from November 14, 2003 to present.","January 18, 2012","February 12, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00086,General Records,Government,"A copy of a public garage license issued at {an address}, including the application date, the issue date and the expiry date.","January 17, 2012","February 10, 2012",All Disclosed,1
AG-2012-00087,General Records,Public,"A copy of any correspondence on file regarding the inspections during construction for {an address}, including any HVAC and construction correspondence.","January 17, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,24
AG-2012-00088,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 28, 2011. Fire Report No. F11164255.","January 17, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00089,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 9, 2011. Fire Report No. F11156614.","January 17, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00090,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred November 28, 2011.","January 18, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00091,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 8, 2011.","January 18, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,28
AG-2012-00092,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 11, 2011.","January 18, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-00093,General Records,Public,"A copy of the permitted use letter for the sale of propane exchange for {an address}, North York.","January 17, 2012","February 16, 2012",All Disclosed,3
AG-2012-00094,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 7, 2012.","January 20, 2012","February 17, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00095,General Records,Public,"A copy of all records relating to the Public Health inspection at {an address}, between June and August 2008.","January 18, 2012","February 12, 2012",All Disclosed,19
AG-2012-00096,General Records,Public,A copy of all building permits and records of work conducted by the City for {an address}.,"January 18, 2012","February 14, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00097,General Records,Business,"A copy of the RESCU camera recordings/photos from Bay Street and Lakeshore on January 11, 2012, between 22:40 and 23:00.","January 19, 2012","February 16, 2012",All Disclosed,4
AG-2012-00098,General Records,Business,"A copy of the results from the Public Health investigation regarding the illness/outbreak that staff of Elte Carpets had suffered after a holiday party held at the Eglinton Grand on November 25, 2011.","January 19, 2012","February 6, 2012",All Disclosed,2
AG-2012-00099,General Records,Public,"A copy of all engineering studies regarding the storm sewer and sewer systems located at Bowes Garden Court, specifically dealing with the side of the Court south of Mildock Drive. Also any and all documents regarding the sewers with this street.","January 19, 2012","February 9, 2012",No Records Exist,0
AG-2012-00100,General Records,Business,"A copy of information regarding the last fire inspection of {an address} prior to April 3, 2010, details of the general contractor who was undertaking renovations in April, 2010, and any fire investigation documents from the April 3, 2010 fire.","January 19, 2012","February 17, 2012",Disclosed in Part: No Records Exist,92
AG-2012-00101,General Records,Business,"A copy of all documents from Fire Services pertaining to {an address}, including applications, permits, inspections, notes, reports, diagrams, etc.","January 19, 2012","February 7, 2012",No Records Exist,0
AG-2012-00103,General Records,Media,An electronic list showing the numbers and percentages of pupils at all Toronto schools who have received the vaccinations required by law.,"January 19, 2012","February 17, 2012",No Records Exist,0
AG-2012-00104,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 20, 2011. Fire Report No. F11161005.","January 19, 2012","February 21, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00105,General Records,Media,"An electronic document showing the location, seriousness and other details of all reported collisions involving (1) motor vehicles and (2) motorcycles for the last 10 complete years available.","January 19, 2012","February 16, 2012",All Disclosed,1
AG-2012-00106,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on January 6, 2012.","January 19, 2012","February 16, 2012",No Records Exist,0
AG-2012-00107,General Records,Business,"A copy of the fire report for Ossington subway station. The incident occurred on February 4, 2010.","January 19, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00108,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 14, 2011.","January 19, 2012","February 16, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00109,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 7, 2012.","January 20, 2012","February 21, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00110,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 9, 2012.","January 20, 2012","March 5, 2012",Disclosed in Part: Partially Exempt,204
AG-2012-00114,General Records,Public,A copy of the work order issued to Greenwin to replace the bath tub and change the medicine cabinet.,"January 19, 2012","February 14, 2012",All Disclosed,7
AG-2012-00115,General Records,Public,"A copy of the PFR documents regarding {an address}, including the arborist reports, inspections, calls for service, hand written reports, and stumping reports from 2006 to 2011.","January 20, 2012","January 31, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-00116,General Records,Public,"A copy of the Local 416 Seniority List that shows employee name, seniority date, base clasification, division & section as to the collective agreement 2009-2011. Seniority lists that reflect Jan., March, May, July, Sept., Nov., 2011 and Jan. 2012.","January 23, 2012","February 22, 2012",Nothing Disclosed (exemption),0
AG-2012-00117,General Records,Business,"A copy of all information related to the storm sewer that was struck during drilling on Via Cassia Drive. The incident occurred on December 9, 2011. Include names of all emergency crew on site, what was discussed, when the sewer was flushed, ect.","January 23, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00118,General Records,Public,"A copy of all documents related to AFI International Group Inc (formerly known as AccuFax Investigations) and ISB Canada from January 2010 to present. Records including any contracts, responses to FRP's. REOI's, RFQ's, emails, invoices, future contracts.","January 23, 2012","February 22, 2012",Nothing Disclosed (excluded),231
AG-2012-00119,General Records,Public,"A copy of all records regarding any dealings between the City and staffing temporary Patriot Source 1 (or PS1) located in Milton, including contracts, responses to City RRFO, RFQ, REOI, emails, invoices, city locations where PS1 is present, etc.","January 23, 2012","February 24, 2012",Nothing Disclosed (excluded),0
AG-2012-00120,General Records,Business,A copy of the aggregate data from the Shelter Managment Information System for a total of all admissions and the number admitted 50 years and older in all shelters for 2011.,"January 24, 2012","February 22, 2012",All Disclosed,2
AG-2012-00123,General Records,Public,A copy of the bed bug report for {an address}.,"January 24, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,65
AG-2012-00125,General Records,Business,"A copy of documents related to the TB SUB 2001 0001 Toryork Drive & Milvan Drive including stormwater/sewer applications, reports and records.","January 24, 2012","February 23, 2012",All Disclosed,73
AG-2012-00126,General Records,Public,A copy of the inspection report and notes regarding a grow-op at {an address}. File No. PRS IR Folder 2008 220628.,"January 20, 2012","February 12, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00127,General Records,Public,"A copy of the ML&S file for {an address}, Scarborough. The folder no. 11 178616 WST 00 IV.","January 23, 2012","February 21, 2012",Disclosed in Part: Partially Exempt,52
AG-2012-00128,General Records,Association,A list of Fire Service responses to complaints about outdoor bake oven use at {an address} from 2005 to present. The list should include the date of Fire response and the cost of each visit.,"January 24, 2012","February 15, 2012",Disclosed in Part: Partially Exempt,20
AG-2012-00130,General Records,Public,"A copy of the inspection reports for {an address}, including the building application, zoning confirmation, and HVAC, plumbing, and electric reports.","January 20, 2012","February 2, 2012",Abandoned/Withdrawn by Applicant,0
AG-2012-00131,General Records,Business,A copy of all sewer maintenance records for {an addresst} from June 2006 to present.,"January 24, 2012","January 31, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00132,General Records,Business,A copy of the ML&S inspection report no. B01659 regarding {an address}. The inspection was completed in 2010.,"January 24, 2012","February 22, 2012",All Disclosed,20
AG-2012-00133,General Records,Business,"A copy of all records and communications with Building, Planning, Urban Design, and Committee of Adjustments regarding {an address} from October 2010 to present.","January 24, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,398
AG-2012-00139,General Records,Public,"A copy of the directory for Ontario Works client case files, including client interview sheets, initial applications, proof of citizenship, and employment change and station statements for current and archival client files.","January 25, 2012","January 31, 2012",Abandoned/Withdrawn by Applicant,0
AG-2012-00140,General Records,Public,"A copy of the permit records and utility records (water, sewage, and garbage) for an {address}.","January 24, 2012","February 27, 2012",Nothing Disclosed (exemption),0
AG-2012-00141,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 1, 2012.","January 23, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,32
AG-2012-00142,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 21, 2011.","January 23, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00143,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on September 18, 2011.","January 23, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-00144,General Records,Business,"A copy of the fire report for {an address}, Etobicoke. The incident occurred on January 1, 2012.","January 24, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,32
AG-2012-00145,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 4, 2012.","January 24, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00146,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 11, 2012.","January 24, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00147,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on December 22, 2011. Fire report No. F11161939.","January 25, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00148,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on October 1, 2011.","January 25, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00149,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 18, 2012.","January 25, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00150,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 8, 2012.","January 26, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00151,General Records,Public,"A copy of the following building files regarding {an address}: 217076, 217428, and 218711.","January 25, 2012","February 22, 2012",All Disclosed,25
AG-2012-00152,General Records,Public,"A copy of the engineer reports, inspection reports, inspection notes, original renovation permit details and permit no. 11-103045 for {an address}.","January 25, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,40
AG-2012-00153,General Records,Public,"A copy of all invoices, bills or payment certificates issued by Comer Group Ltd and the City relating to contract no. 09EY-21WS in connection with the reports of extra work completed on Roncesvalles Avenue. Also water main break records.","January 26, 2012","February 28, 2012",Disclosed in Part: Partially Exempt,46
AG-2012-00154,General Records,Public,"A copy of the building permit no. 10281497 and the building inspector clearance letter dated Jan. 26, 2012 regarding {an address}.","January 26, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,34
AG-2012-00155,General Records,Public,"A copy of the tax bills for {an address} for the following years: 1977, 1986, 1999, and 2005.","January 26, 2012","February 27, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-00156,General Records,Public,"A copy of the documents provided to the city with respect to a permit that was obtained in the fall of 2011 to remove a tree on {an address}, East York, including any inspection reports and permit applications.","January 27, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,15
AG-2012-00157,General Records,Public,A copy of the document stating that {an address} meets the safety standard codes for the wood burning stove. The fire inspection report no. 11046784.,"January 27, 2012","February 29, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00158,General Records,Public,"A copy of any records regarding the dog attack near {an address}, Scarborough. The incident occurred on December 5, 2011.","January 27, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00159,General Records,Business,"A copy of all work permits, values and diagrams from 2005 onwards regarding {an address}, North York.","January 27, 2012","February 24, 2012",All Disclosed,150
AG-2012-00166,General Records,Business,A copy of the building inspector notes and records of the renovation at {an address} between October 2007 and December 2008.,"January 27, 2012","February 22, 2012",Disclosed in Part: Partially Exempt,36
AG-2012-00167,General Records,Public,A copy of records showing the number of zoo passes issued from May 2011 to January 2012 and information on discussions with Parks Canada on the process to establish Rouge National Urban Park.,"January 27, 2012","February 27, 2012",Disclosed in Part: No Records Exist,1
AG-2012-00168,General Records,Business,"A copy of all documents relating to {an address}, specifically all documents relating to signage and permits.","January 27, 2012","March 19, 2012",Disclosed in Part: Partially Exempt,868
AG-2012-00169,General Records,Public,A copy of all ML&S records regarding {an address}.,"January 27, 2012","February 27, 2012",Disclosed in Part: Partially Exempt,41
AG-2012-00170,General Records,Public,A copy of records relating to the tree cutting at {an address} in June 2011.,"January 30, 2012","February 29, 2012",All Disclosed,6
AG-2012-00171,General Records,Public,"A copy of all receipts, payments, permits, inspection records and other records that were required in order for renovation to be completed at {an address}. Payment records should be from February 1 to December 1, 2011.","January 25, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,30
AG-2012-00173,General Records,Public,A copy of all fire reports for {an address} between 2005 and 2012.,"January 26, 2012","February 28, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00174,General Records,Public,A copy of any building documents for {an address} from 1995 to present.,"January 26, 2012","February 23, 2012",Disclosed in Part: Partially Exempt,73
AG-2012-00175,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on January 15, 2012.","January 27, 2012","February 28, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00176,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on February 12, 2011.","January 27, 2012","February 28, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-00177,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on January 22, 2012.","January 30, 2012","February 29, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00178,General Records,Public,A copy of the Public Health report regarding water issues at {an address} including any conversation reports.,"January 26, 2012","February 21, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00179,General Records,Public,A copy of the fire safety inspection report pertaining to {an address}.,"January 26, 2012","February 27, 2012",Disclosed in Part: No Records Exist,13
AG-2012-00180,General Records,Media,A list that details the name of any and all electronic databases or datasets operated by any of the city divisions. The list should include a summary explaining what kind of information each database contains as well as file format.,"January 31, 2012","March 1, 2012",All Disclosed,101
AG-2012-00181,General Records,Public,"A copy of the accident report for a skating collision at Hodgson Public School rink on January 5, 2012. The incident occurred around 4:30 p.m. and {an individual} was taken to Sunnybrook Hospital by ambulance.","January 31, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,1
AG-2012-00182,General Records,Business,"A copy of all records relating to the Government Management Committee Item 31.19 Healthy Vending Criteria, specifically records relating to the Council's request to PFR to ensure an abundant supply of drinking water be available in arenas and centres.","January 31, 2012","March 1, 2012",All Disclosed,86
AG-2012-00183,General Records,Public,A copy of the geotechnical report or soil condition report for {an address} dated in the 1950's.,"January 30, 2012","February 3, 2012",No Records Exist,0
AG-2012-00184,General Records,Public,A copy of the inspection reports for {two addresses}. The inspection at {an address} was for a leaking eaves approx.10 years ago and the inspection at {an address} was for garbage approx. 5 years ago.,"January 30, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-00188,General Records,Business,"A copy of any records regarding the sewer back up at {an address} around September 13, 2011, including insoections, maintenance and service records from 1980 to present.","February 1, 2012","March 1, 2012",All Disclosed,3
AG-2012-00189,General Records,Public,"A copy of report filed by C.F.I.A. regarding an incident that was reported on October 28, 2011 to the C.F.I.A. and Public Health. The incident was with respect to food sold at {an address}. File No. 12044.","February 1, 2012","February 28, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-00190,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on January 19, 2012.","February 1, 2012","March 2, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00191,General Records,Media,"A copy of all financial records relating to Mayor Ford and Councillor Ford's Cut the Waist Challenge, including invoices and receipts for the printing of banners and posters, domain hosting and web design and graphics used on the weekly weigh-in scale.","February 1, 2012","February 24, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00192,General Records,Business,"A copy of the Public Health report regarding an incident at The Eglinton Grand/Eglinton Event. The incident occurred on November 25, 2011.","February 2, 2012","February 23, 2012",All Disclosed,20
AG-2012-00193,General Records,Public,"A copy of the building records for {an address}, including file no.'s 44216 and 223043.","February 1, 2012","March 2, 2012",Disclosed in Part: Partially Exempt,71
AG-2012-00194,General Records,Public,A copy of the building permit with respect to an extension of the house at {an address}.,"February 2, 2012","March 20, 2012",All Disclosed,26
AG-2012-00199,General Records,Public,"A copy of the fire report for a motor vehicle incident on Ennerdale Road near Rochdale Avenue. The incident occurred on May 2, 2010 at 11:15 p.m.","February 2, 2012","March 2, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00200,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on September 18, 2011.","February 2, 2012","March 2, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-00201,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 23, 2011.","February 3, 2012","March 5, 2012",Disclosed in Part: Partially Exempt,7
